                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0901,                 3.3274,                 1.2854,                 0.0034,                0.98077,                0.46148,                0.31139,                0.85948,                  3.295,                 1.2845,                0.00048,                0.00048,                0.00048
                      2,                 1.1705,                 3.0248,                 1.3901,                0.56354,                0.21154,                0.36054,                0.17574,                  1.425,                 3.6315,                 1.9942,             0.00088298,             0.00088298,             0.00088298
                      3,                 1.2899,                 2.9482,                  1.451,                0.45081,                0.38462,                0.36943,                0.16546,                 1.8296,                 3.7272,                 2.3447,               0.001187,               0.001187,               0.001187
                      4,                 1.3653,                 2.8807,                 1.5624,                0.51067,                0.28846,                0.28744,                0.11905,                 1.7564,                 3.4024,                  2.332,              0.0013919,              0.0013919,              0.0013919
                      5,                 1.3248,                 2.6838,                 1.4789,                0.48948,                 0.5532,                0.44233,                0.20894,                 1.5544,                 3.9915,                 2.1332,               0.001208,               0.001208,               0.001208
                      6,                 1.2647,                  2.442,                 1.4483,                0.47332,                0.63462,                0.52793,                0.30466,                 1.3467,                   2.47,                 1.7925,                0.00101,                0.00101,                0.00101
                      7,                 1.1837,                 2.2566,                 1.3944,                0.61543,                0.64636,                0.64268,                0.43638,                 1.2869,                 1.8753,                 1.6169,               0.000812,               0.000812,               0.000812
                      8,                 1.1599,                 2.1768,                 1.3474,                0.80248,                0.54706,                 0.7002,                0.47662,                 1.2014,                 1.7546,                 1.5004,               0.000614,               0.000614,               0.000614
                      9,                  1.066,                 2.0311,                   1.29,                0.74023,                0.53846,                0.68193,                0.49311,                 1.0542,                 1.7415,                 1.4146,               0.000416,               0.000416,               0.000416
                     10,                 1.0339,                 1.8794,                 1.2744,                0.59643,                 0.7674,                0.72102,                0.53402,                 1.0481,                 1.5265,                 1.3964,               0.000218,               0.000218,               0.000218
